"No.","Time","Source","Destination","Protocol","Length","Info"
"1473","2.095884","74.125.143.189","10.100.102.6","UDP","67","443  >  64707 Len=25"
"1570","2.190812","62.0.80.15","10.100.102.6","UDP","71","443  >  55185 Len=29"
"1571","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1572","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1573","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1574","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1575","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1576","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1577","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1578","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1579","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1580","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1581","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1582","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1583","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1584","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1585","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1586","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1587","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1588","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1589","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1590","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1594","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1595","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1596","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1597","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1598","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1599","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1600","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1601","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1602","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1603","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1604","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1605","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1606","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1607","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1608","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1609","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1610","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1611","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1612","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1613","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1614","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1618","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1619","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1620","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1621","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1622","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1623","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1624","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1625","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1626","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1627","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1628","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1629","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1630","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1631","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1632","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1633","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1634","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1635","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1636","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1637","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1638","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1642","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1643","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1644","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1645","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1646","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1647","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1648","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1649","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1650","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1651","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1652","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1653","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1654","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1655","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1656","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1657","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1658","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1659","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1660","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1661","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1662","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1663","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1664","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1665","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1666","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1667","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1668","2.219763","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
