"No.","Time","Source","Destination","Protocol","Length","Info"
"88377","55.296755","10.100.102.6","10.100.102.1","DNS","86","Standard query 0xca56 A encrypted-tbn0.gstatic.com"
"88385","55.305262","10.100.102.1","10.100.102.6","DNS","357","Standard query response 0xca56 A encrypted-tbn0.gstatic.com A 172.217.169.78 NS ns1.google.com NS ns3.google.com NS ns4.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"88395","55.316195","10.100.102.6","10.100.102.1","DNS","78","Standard query 0x6d16 A cms.quantserve.com"
"88399","55.349475","10.100.102.1","10.100.102.6","DNS","390","Standard query response 0x6d16 A cms.quantserve.com CNAME 2kpixel.quantserve.com CNAME global.px.quantserve.com A 91.228.74.133 A 91.228.74.226 A 91.228.74.189 A 91.228.74.198 A 91.228.74.134 NS ns-1307.awsdns-35.org NS ns-1713.awsdns-22.co.uk NS ns-1018.awsdns-63.net NS ns-483.awsdns-60.com A 205.251.193.227 A 205.251.195.250 A 205.251.197.27"
"88552","55.430041","10.100.102.6","10.100.102.1","DNS","72","Standard query 0x3971 A cc.adingo.jp"
"88585","55.449106","10.100.102.1","10.100.102.6","DNS","388","Standard query response 0x3971 A cc.adingo.jp A 18.179.240.58 A 18.180.1.224 A 54.178.254.210 A 52.199.191.138 A 54.64.53.220 A 52.69.69.122 A 18.179.156.111 A 54.178.184.38 NS ns-1817.awsdns-35.co.uk NS ns-1470.awsdns-55.org NS ns-916.awsdns-50.net NS ns-492.awsdns-61.com A 205.251.193.236 A 205.251.195.148 A 205.251.197.190"
"88788","55.575242","10.100.102.6","10.100.102.1","DNS","86","Standard query 0x278c A encrypted-tbn1.gstatic.com"
"88815","55.590308","10.100.102.1","10.100.102.6","DNS","357","Standard query response 0x278c A encrypted-tbn1.gstatic.com A 216.58.210.238 NS ns1.google.com NS ns3.google.com NS ns4.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"89002","55.703152","10.100.102.6","10.100.102.1","DNS","80","Standard query 0x4b53 A cm.g.doubleclick.net"
"89178","55.742398","10.100.102.6","10.100.102.1","DNS","80","Standard query 0x4b53 A cm.g.doubleclick.net"
"89231","55.754667","10.100.102.1","10.100.102.6","DNS","326","Standard query response 0x4b53 A cm.g.doubleclick.net A 172.217.169.66 NS ns4.google.com NS ns1.google.com NS ns3.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:38::a"
"89375","55.773599","10.100.102.1","10.100.102.6","DNS","326","Standard query response 0x4b53 A cm.g.doubleclick.net A 172.217.169.66 NS ns4.google.com NS ns1.google.com NS ns3.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:38::a"
"95412","60.105667","10.100.102.6","10.100.102.1","DNS","79","Standard query 0xc82a A clients4.google.com"
"95413","60.115501","10.100.102.1","10.100.102.6","DNS","367","Standard query response 0xc82a A clients4.google.com CNAME clients.l.google.com A 216.58.210.46 NS ns1.google.com NS ns4.google.com NS ns3.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
