No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,Num of packets
45240,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8046358 Win=2140416 Len=0,,,,,,,
45243,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8053508 Win=2145280 Len=0,,,,,,,
45244,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8054572 Win=2145280 Len=0,,,,,,,
45245,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8049218 Win=2144000 Len=0,,,,,,,
45252,31.094052,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8058862 Win=2145280 Len=0,,,,,,,
45253,31.094052,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8062786 Win=2145280 Len=0,,,,,,,
45257,31.094052,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8068506 Win=2142208 Len=0,,,,,,,
45258,31.094052,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8071000 Win=2144256 Len=0,,,,,,,
45262,31.094052,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8073860 Win=2144000 Len=0,,,,,,,
45263,31.094052,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8076720 Win=2144000 Len=0,,,,,,,
45264,31.094052,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8079214 Win=2145280 Len=0,,,,,,,
45271,31.099812,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8083504 Win=2145280 Len=0,,,,,,,
45272,31.099812,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8087428 Win=2145280 Len=0,,,,,,,
45275,31.106005,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23091122 Win=7911 Len=0,,,,,,,
45276,31.106005,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23093982 Win=7914 Len=0,,,,,,,
45277,31.106005,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23096476 Win=7915 Len=0,,,,,,,
45278,31.106005,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23104690 Win=7915 Len=0,,,,,,,
45284,31.107248,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23110410 Win=7903 Len=0,,,,,,,
