"No.","Time","Source","Destination","Protocol","Length","Info"
"41","0.000109","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"44","0.000285","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"47","0.000360","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"49","0.000400","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"51","0.000441","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"54","0.000506","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"56","0.000543","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"57","0.000579","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"63","0.074317","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"68","0.076953","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"72","0.077389","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"86","0.081379","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"88","0.081605","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"99","0.084625","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"106","0.085004","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"108","0.085153","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"156","0.214753","10.100.102.6","216.58.210.234","TLSv1.2","1053","Application Data"
"182","0.236177","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"184","0.236700","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"186","0.237047","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"187","0.237563","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"188","0.237715","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"189","0.237777","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"190","0.237871","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"191","0.237960","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"214","0.311555","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"219","0.313103","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"228","0.313466","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"229","0.314010","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"235","0.316929","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"239","0.317188","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"240","0.317326","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"241","0.317412","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"261","0.384985","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"263","0.385242","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"265","0.385574","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"275","0.390523","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"286","0.390908","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"287","0.390965","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"288","0.391005","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"289","0.391041","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"293","0.455310","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"312","0.464027","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"313","0.464272","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"315","0.464497","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"316","0.464683","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"317","0.464746","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"318","0.464793","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
"319","0.464840","10.100.102.6","216.58.210.234","TLSv1.2","8268","Application Data"
