"No.","Time","Source","Destination","Protocol","Length","Info"
"131","0.153270","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=151777 Win=8361 Len=0"
"133","0.153270","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=154637 Win=8353 Len=0"
"134","0.153270","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=157497 Win=8357 Len=0"
"135","0.153270","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=159991 Win=8361 Len=0"
"140","0.156132","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=165711 Win=8345 Len=0"
"142","0.156271","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=168205 Win=8357 Len=0"
"143","0.156271","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=171065 Win=8357 Len=0"
"145","0.156616","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=173925 Win=8357 Len=0"
"146","0.156616","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=176419 Win=8361 Len=0"
"149","0.158553","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=184633 Win=8338 Len=0"
"151","0.161326","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=187493 Win=8357 Len=0"
"152","0.161326","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=192847 Win=8361 Len=0"
"153","0.161326","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=191783 Win=8357 Len=0"
"157","0.222341","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=198567 Win=8361 Len=0"
"158","0.222341","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=202491 Win=8353 Len=0"
"159","0.222341","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=205351 Win=8353 Len=0"
"160","0.222341","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=208211 Win=8353 Len=0"
"161","0.222341","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=209275 Win=8361 Len=0"
"162","0.225613","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=213565 Win=8349 Len=0"
"163","0.225613","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=216425 Win=8353 Len=0"
"164","0.225613","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=225703 Win=8328 Len=0"
"165","0.227064","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=228563 Win=8353 Len=0"
"166","0.227064","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=231423 Win=8357 Len=0"
"167","0.227064","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=235347 Win=8350 Len=0"
"168","0.227314","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=238207 Win=8353 Len=0"
"170","0.227857","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=241067 Win=8357 Len=0"
"175","0.232173","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=244991 Win=8346 Len=0"
"176","0.232173","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=247851 Win=8353 Len=0"
"177","0.232173","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=250345 Win=8357 Len=0"
"178","0.234768","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=254635 Win=8349 Len=0"
"179","0.234768","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=257495 Win=8353 Len=0"
"180","0.234768","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=258559 Win=8361 Len=0"
"193","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=261419 Win=8353 Len=0"
"194","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=264279 Win=8357 Len=0"
"195","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=272493 Win=8357 Len=0"
"196","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=269633 Win=8338 Len=0"
"197","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=274987 Win=8357 Len=0"
"198","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=277847 Win=8353 Len=0"
"199","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=286061 Win=8350 Len=0"
"200","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=291415 Win=8357 Len=0"
"201","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=280707 Win=8353 Len=0"
"202","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=288921 Win=8353 Len=0"
"203","0.305895","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=299629 Win=8338 Len=0"
"212","0.311432","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=302489 Win=8353 Len=0"
"213","0.311432","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=305349 Win=8345 Len=0"
"216","0.312992","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=307843 Win=8353 Len=0"
"221","0.313360","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=310703 Win=8357 Len=0"
"222","0.313360","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=313563 Win=8361 Len=0"
"223","0.313360","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=316057 Win=8361 Len=0"
"225","0.313360","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=321777 Win=8361 Len=0"
"231","0.316796","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=324271 Win=8361 Len=0"
"242","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=329991 Win=8357 Len=0"
"243","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=332485 Win=8361 Len=0"
"244","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=335345 Win=8353 Len=0"
"245","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=338205 Win=8353 Len=0"
"246","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=346419 Win=8331 Len=0"
"247","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=348913 Win=8353 Len=0"
"248","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=351773 Win=8357 Len=0"
"249","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=361417 Win=8331 Len=0"
"250","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=364277 Win=8353 Len=0"
"251","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=365341 Win=8361 Len=0"
"255","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=368201 Win=8353 Len=0"
"257","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=371061 Win=8357 Len=0"
"258","0.384880","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=373555 Win=8361 Len=0"
"271","0.390441","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=376415 Win=8353 Len=0"
"272","0.390441","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=379275 Win=8357 Len=0"
"273","0.390441","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=381769 Win=8357 Len=0"
"277","0.390574","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=384629 Win=8357 Len=0"
"278","0.390574","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=387489 Win=8361 Len=0"
"279","0.390574","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=389983 Win=8361 Len=0"
"292","0.455312","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=392843 Win=8353 Len=0"
"295","0.463888","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=398197 Win=8361 Len=0"
"296","0.463888","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=395703 Win=8353 Len=0"
"299","0.463888","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=406411 Win=8338 Len=0"
"302","0.463888","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=409271 Win=8353 Len=0"
"320","0.473468","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=455695 Win=8229 Len=0"
"330","0.536376","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=458555 Win=8353 Len=0"
"331","0.536376","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=461415 Win=8345 Len=0"
